pairValue,buyBook,exchangeId,sellBook,updated,buyTotal,satoshiPrice,usdPrice,exchangeLogId,created,bestPair,sellTotalBtc,volume,pairPrice,activePairs,sellTotal,volumeBtc,buyTotalBtc,coinId
1,[],4,[],2019-05-08 11:54:52,20171590.11306717,0.00000079,0.00000000004670298300000001,7580941,2019-05-08 11:54:52,btc,4.01339451578675,0.0,0.00000079,btc,3149504.86994733,0.67167706,0.7255998705202859,9
1,[],28,[],2019-05-08 11:54:54,18055.0,0.00000021,0.000000000012414717000000001,7580942,2019-05-08 11:54:54,btc,2708.774353000864,3582301.0,0.00000021,btc,24560.2792,0.0,0.00186155,9
0,[],2,[],2019-01-20 23:22:42,0.0,0,0,6476876,2019-01-20 23:22:42,,0.0,0.0,0,,0.0,0.0,0.0,9
0,[],23,[],2019-01-20 23:22:48,0.0,0,0,6476878,2019-01-20 23:22:48,,0.0,0.0,0,,0.0,0.0,0.0,9
1,[],1,[],2019-02-17 23:31:42,1822507.21,0.00000181000000000000003456111265232042484285557293333113193511962890625,0.000000000066086901,6701244,2019-02-17 23:31:42,btc,3.6990969245,17153386.5,0.00000181000000000000003456111265232042484285557293333113193511962890625,btc,1997391.71,31.11772986,3.2610482446,9
1,[],4,[],2019-02-17 11:22:43,4341674.27126056,0.00000002,0.0000000000007272960000000001,6696112,2019-02-17 11:22:43,btc,0.1997230937751353,0.0,0.00000002,btc,4109766.79808031,0.00215132,0.0479381022052112,10
1,[],4,[],2019-05-08 11:54:55,9964449.16560022,0.00000087,0.000000000051432399000000006,7580943,2019-05-08 11:54:55,btc,7.1548868743009795,0.0,0.00000087,btc,5202660.67114168,2.07402251,3.029020140517455,12
1,[],5,[],2019-05-08 11:54:56,0.0,0,0,7580944,2019-05-08 11:54:56,btc,0.0,0.29472656,0,btc,0.0,0.0,0.0,12
0.0,[],25,[],2019-05-08 11:54:58,0.0,0,0,7580945,2019-05-08 11:54:58,,0.0,0.0,0.0,btc,0.0,0.0,0.0,12
0,[],2,[],2019-01-20 23:23:08,0.0,0,0,6476890,2019-01-20 23:23:08,,0.0,0.0,0,,0.0,0.0,0.0,12
1,[],4,[],2019-05-08 11:54:59,32024598.04712549,0.00000634,0.00000000037480621800000005,7580946,2019-05-08 11:54:59,btc,3.1878913645132982,0.0,0.00000634,btc,355224.89669203,0.43254437,0.9941499887128433,13
1,[],10,[],2019-05-08 11:55:01,546039.29431476,0.00000625,0.00000000036948562500000004,7580947,2019-05-08 11:55:01,btc,666793.5686430224,7057.20241629,0.00000625,btc,743294.54796136,0.0,0.484296827217673,13
1,[],21,[],2019-05-08 11:55:02,1873793.10472426,0.000006420000000000000365933412044,0.00000000037953563400000007,7580948,2019-05-08 11:55:02,btc,3.9100267307341157,771187.76005047,0.0000064200000000000003659334120442725435395914246328175067901611328125,btc,533061.75113772,5.03388626,9.264905182084778,13
1,[],4,[],2019-05-08 11:55:03,1096029.3111669,0.00000083,0.000000000049067691,7580949,2019-05-08 11:55:03,btc,6.311122305777399,0.0,0.00000083,btc,1278414.35265337,0.1243049,0.1988583777383616,14
1,[],12,[],2019-05-08 11:55:04,254881.86031756,0.00000085,0.00000000005025004500000001,7580950,2019-05-08 11:55:04,btc,0.1182616983717342,0.0,0.00000085,btc,14480.86895597,0.0,0.0284062399999737,14
1,[],26,[],2019-05-08 11:55:05,0.0,0.00000050,0.00000000002955885,7580951,2019-05-08 11:55:05,btc,0.0,0.0,0.00000050,btc,0.0,0.0,0.0,14
0,[],17,[],2019-05-03 00:53:32,0.0,0,0,7558876,2019-05-03 00:53:32,btc,0.0,0.0,0,btc,0.0,0.0,0.0,14
0,[],4,[],2019-05-08 11:55:06,0.0,0,0,7580952,2019-05-08 11:55:06,,0.0,0.0,0,,0.0,0.0,0.0,15
,[],12,[],2018-12-01 15:15:48,204241.84496,0.00000489,0.000000000202473384,5260204,2018-12-01 15:15:48,btc,49.5475654835,0.0,,btc,35763.2193806,0.0163153972027625,0.0203389899998,15
1,[],4,[],2019-05-08 11:55:08,30622.22875835,0.00001302,0.0000000007697124540000001,7580953,2019-05-08 11:55:08,btc,1.1086345052370274,0.0,0.00001302,btc,14188.45040513,0.00951024,0.0972093893214419,18
